"b"	6166:61652:938:287 6166:61652:938:287
from	22947:44505:1385:287 27527:32661:1407:287 28823:44097:1228:287 44978:61758:1228:302 52039:57029:1206:287 53983:49264:1206:287 61379:63238:1251:302 6703:55367:1184:287
front	59948:32782:1228:271
full	25315:45487:871:302
future	18031:62166:1541:317
g.	10948:33402:536:317 28131:46016:513:302 43213:28084:580:287
gaillard	30164:30229:2055:317
gaillard,	34610:25395:2167:347
gain	54943:38613:1228:287
gaining	32398:21512:1876:362
gallery	22031:46439:1876:362
game	56664:48886:1295:241 57401:11677:2234:619 59077:21406:1318:256 54050:26679:1318:256
general	52106:32782:916:302 62630:32374:804:271
get	59211:46877:782:317
getting	61937:29912:1742:362
gift	3954:54400:1027:302 5541:55367:893:362
give	6524:45608:1027:362
given	1899:42708:1362:362 34566:24911:1340:362
giving	35549:17645:1608:347
go.	36309:49022:715:256
goal	54407:49747:1027:347
goalie,	60753:31332:1586:362
goalie.	58429:45382:1631:362
goals	57781:48297:1295:347
good	4759:34399:1228:377 60932:44898:1206:362 54072:43463:1184:332 61177:35139:1206:362
good-will	17986:56380:2368:347
got	58474:35199:826:317
governments	52039:60398:3217:332
graduates	18903:45472:2435:332 17361:41106:2413:347 22478:33296:3619:438
grapplers	30253:35532:4602:664
grasson	28913:23944:2033:287
great	44665:47512:1295:287 44822:59325:1430:317 4870:44218:1318:302 57960:16497:1497:271
greatly	54027:22751:1765:347
green	42788:9955:3508:891 57491:30395:1497:302 60820:28008:1497:287
greeted	10367:50473:1876:332
grotius	7552:62619:1854:317
grotius's	11417:56334:2256:302 9518:60202:2256:317
group	23796:59386:1474:256
guests	48978:47013:1541:302
guests.	45916:42541:1675:317 47078:34565:2636:423
had	32465:30244:871:302 3284:28658:916:302
hall	16378:43025:1094:287 24198:37707:1117:302 43637:41544:1117:271 46363:31891:2055:619 9272:42692:1139:287
hands	33627:27328:1430:317
hanoverians	51949:16497:3373:271 57312:22268:3195:302
hardenbergh,	12289:31951:938:287 1876:32525:2413:347
has	10211:55851:826:287 14456:39626:804:302 19997:41590:804:287 24623:56395:826:302 39571:44460:826:271 41291:42995:826:302 52173:42496:782:287
have	16467:64084:1161:302 28868:56908:1139:317 7418:50473:1161:287 1943:50473:1161:302 9987:47058:1139:317 9965:38326:1385:287
haven	21785:33960:2368:423 55189:57029:1675:287
haven.	4155:47557:1787:302
having	4938:31030:1720:377 60798:22252:1720:362
he	11641:26195:558:287 23774:56395:558:287 20690:57362:603:287 17115:57815:536:302 32421:48433:580:287 40129:53554:737:287
head	15372:28159:1742:287
hear	23103:45472:1117:302
heath	56597:24670:1519:271
held	10546:21845:1027:302 18344:49808:1027:317 19796:37707:1251:287
help.	45715:54975:1161:377
her	16646:58298:826:287 31683:56440:804:287 42096:60806:804:287 41671:59824:782:302
here	19059:42073:1072:302
hicks	6077:61153:1474:317
hicks.	10233:57785:1608:287
high	52106:48297:1117:347 60127:40517:1318:362 56731:39082:1295:347 62183:37616:1586:362
him	10546:34368:960:287 61982:48796:983:287
his	20109:55413:960:302 22969:29579:737:302 32666:31694:692:302 54027:25606:715:302 60150:50714:715:302 60038:48297:692:302
history	7574:60685:1765:362
hit-	62898:35607:849:302
hockey	46676:28748:2055:347 47324:8762:4357:891 52173:41031:1899:347 55949:19382:1943:362 55994:37057:2636:362
holds	32287:58374:1295:302 59926:58933:1318:302
hon.	16601:53932:1228:302
honorary	54050:62740:2323:347
hostilities	50162:56908:804:302 39526:57422:1541:302
housing	46877:41046:1966:347
howland	2904:15605:3239:362 3105:30561:2323:317
howse,	2748:34897:1876:347
hyde,	31929:41710:1564:332
i	14545:59250:201:302 18970:59748:201:302 31214:60307:245:287
ice	53134:28960:670:302 58630:44898:670:302 61535:50231:692:317
ice,	53871:34686:759:347 59032:46363:804:347
idea	31058:61274:1005:302
illinois.	53871:64160:1876:332
imperative	31505:58857:2658:362
important	14478:43977:2457:362 7641:52467:3865:362
impression	7529:61652:2703:362
improved	62809:22268:558:271 51972:22751:1675:347
improvement	60060:16497:3575:347
in	11998:17025:513:271 8959:16572:491:287 1921:47557:446:287 1899:41257:469:287 2480:40290:536:287 11998:41212:469:302 3485:42708:491:287 19685:49808:446:302 21897:42556:469:302 14456:41559:446:302 17785:43040:446:271 19930:44490:446:302 21338:37722:491:271 25784:59295:424:287 14478:55382:446:302 22209:60730:469:302 21182:53464:446:302 15908:58298:491:287 19439:56863:536:287 30968:59341:469:302 35526:58389:446:302 3217:63102:469:302 5697:60685:469:287 3910:62135:446:287 5407:58268:469:287 11618:56803:469:317 36309:45563:446:287 38275:45079:424:302 36979:14759:491:256 38208:20560:446:287 28265:19578:446:302 35929:30244:446:302 37024:22978:446:287 34231:28794:469:287 38252:26377:424:271 28131:19110:424:287 31907:31694:446:302 34164:30743:446:287 38208:42209:491:287 42811:49385:469:287 40688:43478:469:287 48709:40547:446:302 45470:42979:469:302 41180:46968:469:287 50877:46968:424:287 52620:9985:1094:861 5518:26226:491:302 12043:25697:491:287 8311:27162:469:302 8803:35335:536:302 4290:27676:469:302 1809:30108:491:302 11954:21829:469:302 55502:17463:491:271 56105:41016:469:287 58049:55594:469:302 63278:58449:424:287 61311:32268:469:317 52016:21301:446:302 60328:19850:469:302 63255:30863:469:287 53290:25621:446:287 59323:23219:469:287 52061:32299:424:302 59166:32782:446:271 62585:39082:513:287 9451:53917:513:287
include	11887:40728:1765:302 40241:37647:1943:302
individual	52150:46348:2435:302
individuals.	4625:46107:2860:287
influence	14501:62150:2189:302 28801:54476:2212:317
influential	20779:59280:2502:302
