hero,	42726:32092:1599:503
alienated	44558:32092:2992:423
family,	50621:32092:2270:544
disillusioned	53124:32092:3999:443
institutions	59471:32092:516:443 42726:32757:2967:443
he'd	45926:32757:1367:443
dedicated	47525:32757:3096:443
to,	53279:32797:748:483
faced	55678:32757:1728:443
betrayal	42726:33422:2709:544
best	47706:33422:1264:443
friend,	49202:33422:2089:524
haggerty.	51602:33442:3199:524
w3s&tlehsp\	13623:34732:45023:7115
i	38495:40478:1831:1572
'•dk	46751:40780:3586:1612
\	57330:40478:1651:1915
■	13623:47916:6114:3285
kip*	40198:41223:21672:10099
directed	21776:55234:4231:544
by	26420:55234:1161:665
edward	27968:55213:3844:564
gilbert	32225:55213:3328:544
march	13700:56443:3199:544
1-april	17364:56423:3250:665
14,	21079:56403:1444:604
1985	23014:56383:2631:544
call	27942:56342:1780:544
for	30084:56342:1419:544
tickets	31812:56342:3302:544
(203)	35450:56302:2760:624
787-4282	38624:56262:5315:584
bmbmbdllilliil	13623:57209:30342:2922
arvih	13777:60676:1573:322
brown	15583:60676:1986:322
m.	37695:60576:696:322
edgar	38650:60576:1754:383
rosenblum	40585:60555:3379:322
artistic	13777:61180:1986:302
director	16048:61160:2270:302 41694:61039:2270:302
executive	38701:61059:2760:302
w3s&tlehsp\	13623:34732:45023:7115
i	38495:40478:1831:1572
'•dk	46751:40780:3586:1612
\	57330:40478:1651:1915
■	13623:47916:6114:3285
kip*	40198:41223:21672:10099
directed	21776:55234:4231:544
by	26420:55234:1161:665
edward	27968:55213:3844:564
gilbert	32225:55213:3328:544
march	13700:56443:3199:544
1-april	17364:56423:3250:665
14,	21079:56403:1444:604
1985	23014:56383:2631:544
call	27942:56342:1780:544
for	30084:56342:1419:544
tickets	31812:56342:3302:544
(203)	35450:56302:2760:624
787-4282	38624:56262:5315:584
bmbmbdllilliil	13623:57209:30342:2922
arvih	13777:60676:1573:322
brown	15583:60676:1986:322
m.	37695:60576:696:322
edgar	38650:60576:1754:383
rosenblum	40585:60555:3379:322
artistic	13777:61180:1986:302
director	16048:61160:2270:302 41694:61039:2270:302
executive	38701:61059:2760:302
