dramat,	39906:11055:1444:539 42079:13095:1444:519 45210:11775:1457:539
dining	42538:11075:1066:559 45277:13095:1052:559 39677:36226:1052:559
hall,	43725:11095:742:519 46168:19232:823:539 46425:13114:742:539
8:30	47572:24910:674:379 47572:26249:674:379 34359:15674:688:399 44603:11135:688:399 35979:12375:688:399 40675:27509:674:399
"the	46101:30988:850:419 39866:31587:850:439 34400:11655:836:419
fantasticks,"	35493:11675:2334:499
a	38192:35666:188:319 38084:11815:188:339
romantic	38516:11715:1552:439
musical	40325:11735:1336:439
comedy,	41904:11735:1430:559
calhoun	43591:11755:1390:459 46924:11795:1390:459
cabaret,	44022:15094:1484:539 34373:12275:1457:559
$3.50	37787:12375:809:479
in	38705:12375:310:439 40136:32247:310:439
advance,	39137:12375:1525:539
at	36249:15034:337:399 40365:30308:310:379 41256:12435:350:399 46654:36346:337:399
the	36910:30908:526:399 35669:13674:526:419 37072:33587:526:399 41728:12395:526:439 40621:32247:512:439
door,	42376:12415:863:539
call	43375:12435:620:439
6-5533	44103:12475:985:419
for	47383:32347:809:419 35453:13015:485:399 36492:33567:485:419 45210:12435:499:439 35992:35546:485:419 35925:34886:472:419 36181:30908:458:399
information.	45831:12435:2118:479
"fool	34400:12995:958:419
love,"	36033:13035:1160:459
by	38881:13694:404:559 39353:35546:404:559 39987:15054:404:559 40001:19192:404:539 37302:13015:391:559
sam	37787:13035:755:439
shephard,	38651:13035:1700:559
berkeley	43645:13114:1538:539 40473:13075:1525:539
9	47288:13154:161:419
"what	34400:13674:1093:399
butler	36397:13694:1066:439
saw,"	37666:13734:1012:459
joe	39461:13734:607:419
orton,	40244:13734:1066:519
yale	43145:15094:796:439 41526:13754:769:439 37706:30928:769:399
rep,	42497:13774:769:539
corner	43469:13894:1120:319
chapel	45277:13774:1174:559
and	46641:13774:634:459 42416:19212:620:439
streets,	34359:14294:1295:539
"freedom	34386:15014:1740:419
bremen,"	36694:15034:1686:499
directed	38489:15014:1390:479
joumana	40487:15074:1565:439
rizk,	42160:15094:877:519
217	45615:15134:512:419
park	46222:15114:850:439
street,	47153:15134:1133:539
&	39299:15714:242:439 35223:32207:242:419 44886:35646:242:419 35169:15654:256:419
h	35561:15694:310:399
membership	37018:15674:2145:579
reservations	39677:15753:2118:439
required.	41931:15753:1552:559
music	34359:16893:1268:519
kendall	34359:17773:1322:439
crilly,	35817:17793:1052:539
organ,	37005:17913:1079:419
recital,	38233:17833:1322:539
dwight	39690:17853:1241:539
chapel,	41053:17873:1268:559
12:30	42484:17913:836:419
free.	34333:19772:1214:439 44454:17893:1214:439
philharmonia	34359:18432:2334:459
orchestra	36978:18492:1686:439
yale,	39528:18552:877:459
otto-werner	40689:18552:2105:439
