choral	28792:21554:1606:260
conductor	30625:21554:2553:260
robert	33385:21554:1730:260
shaw.	35341:21554:1503:260
peanuts	2327:43499:3789:364
bloom	2244:49209:3006:390
county	5478:49183:3377:377
doonesbury	2306:56689:5581:364
today	44671:2471:6343:1313
movies	43992:4214:2183:351
"blade	43992:4786:1750:286
runner,"	45928:4826:2389:299
people's	48461:4813:2162:351 43971:5203:2100:364
flicks,	50788:4826:1730:351
lc	52683:4852:720:273
101,7,9:15,	53589:4878:2739:338
&	56534:4891:350:260
11:30	57090:4917:1215:247
p.m,	58450:4969:1132:273
$3	59747:4904:494:312
includes	60386:4891:2080:286
flicks	46298:5242:1544:273
card.	48090:5242:1256:273
intramurais	43971:6009:3851:364
men's	43950:6582:1503:286 43950:8299:1462:286 43950:7440:1482:286
'a'	45660:6634:659:234
basketball:	46525:6634:2903:260 46484:7479:2883:273
dc	48749:8338:762:260 49882:9626:762:273 49676:6634:762:260
vs.	61766:6777:679:195 55710:8468:659:195 48873:8845:679:195 50603:6712:679:195 56205:6764:659:195 49779:8416:659:195 50479:9274:700:195 50459:7557:700:195 50891:9704:679:195 56349:9326:700:195 55196:7596:659:208 56823:9756:679:195 61766:8481:679:195
td,	51838:9652:926:325 51488:6647:926:312 50726:8351:906:312
8:30	53012:9665:1009:260 52642:9235:1009:260 52601:6660:1009:260 45145:8754:1029:273
p.m.;	53836:9313:1318:260 53115:8442:1338:260 46339:8819:1338:273 59088:8468:1338:273 54248:9743:1297:273 53774:6582:1318:455
sy	55340:6673:700:273 55875:9678:700:273 54742:8377:720:286
br,	57090:6699:926:312 56637:8403:947:325 57770:9691:926:312
9:30	58388:9274:1029:247 50912:8793:1029:260 58965:9704:1009:247 58244:6725:988:247
p.m.,	59376:6777:1318:260 60180:9756:1318:273 52127:8858:1276:260
cc	60880:6699:720:273 55443:9248:700:273 47946:8767:720:273 49594:7479:720:273
pc,	51344:7492:885:325 49800:8767:906:325 57276:9248:906:338 43930:6998:885:338
10:15	45083:7050:1215:247
p.m.	43930:7921:1112:260 53198:15388:1091:260 59603:9326:1132:273 53919:11954:1091:273 54907:12396:1091:273 46504:7115:1112:260
'b'	45619:7479:679:247
bp.m.;	52415:7518:1709:325
je	54331:7518:700:286
es,9p.m.;	56061:7544:2739:338
bkvs.	59026:7531:1606:286
mc,	43930:8715:1009:325 60839:7557:988:325 51427:9209:1009:325
10	62013:7570:453:247
volleyball:	46442:9196:2759:338 45701:8325:2739:338
6:30	51900:8377:988:247
7:30	52662:11889:1029:286 57852:8429:1009:234
bk	60736:8403:803:260 49470:9209:803:260
room	53651:8806:1441:286
h,	55319:8819:535:338
paine-whitney	56081:8819:3789:351
gym.	51633:10068:1379:351 60056:8832:1379:338
women's	60118:14920:2327:286 43930:9157:2286:286
squash,	43930:9560:1915:364
men/women:	46134:9600:3439:299
4th	61745:9691:720:260
floor	43930:9990:1359:286
courts,	45495:10029:1791:338
payne-whitney	47534:10055:3871:351
announcements	43950:10822:5004:364
organizational	43909:11382:3748:325
meeting	47925:11447:2038:325
for	50211:11447:700:260 46463:12708:700:260 60138:14074:720:273
all	54001:14894:638:273 51138:11460:617:234
interested	56555:11902:2574:286 51983:11447:2533:286
writers,	54742:11473:1977:325
yale	56967:11473:1173:273 47946:13996:1173:273
daily	58347:11473:1379:351
news,	59953:11486:1524:338
202	61724:11499:741:260
york	60077:16728:1256:273 43909:11785:1256:286
street	45413:11811:1503:299
(next	47246:11863:1297:260
to	47287:14009:453:260 48790:11863:453:260
gentree's),	49511:11863:2862:325
any	55299:11889:1009:351
writers	59356:11915:1833:273
who	61457:11915:1009:273
cannot	43909:12253:1688:273
attend	45804:12266:1585:273
should	47575:12279:1647:273
call	49429:12292:885:273 57317:14048:967:286
6-0825	50541:12318:1441:247
between	52189:12292:2059:286
4	54475:12331:226:247
and	45845:14400:926:273 56267:12331:906:273 61539:16728:906:273 61539:13645:906:273 52065:16702:906:260 49326:13996:906:273
1	57420:12370:144:247
a.m.	57791:12409:1132:208
auditions	43909:12669:2389:286
"trevor,"	47349:12734:2553:286
a	50067:12800:288:195
comedy,	50500:12721:2141:351
