graduate	29985:6622:715:251 36554:6075:1452:295
school.	31102:6593:1787:280
gibbs	33538:6578:1385:295
—concert	29427:7066:2502:280
yale-princeton	34454:7051:3843:295
musical	30008:7524:1921:325
clubs.	32331:7554:1497:295
university	29896:8855:3642:280
notices.	33918:8855:2793:280
news—editors	27997:9801:3932:310
for	33493:19425:759:280 31438:11264:737:280 32287:9816:759:295 35147:24703:737:280 30723:25176:737:280 33828:17015:759:295
next	33314:9875:1094:236
issue:	34744:9816:1385:295
hoagland,	36510:9801:2591:354
games,	27438:10289:1787:340
seddon.	29583:10289:1899:310
faculty—mr.	28019:10777:3418:325
powell's	32018:10777:2100:280
public	34677:10777:1586:280
speaking	36867:10777:2234:325
class	27393:11250:1161:280 27997:12211:1273:280
will	28823:11264:893:266 33292:28532:916:295 36510:12225:916:266
meet	29985:11309:1139:236
lecture	32421:11279:1698:266
in	33337:13186:446:280 36040:18952:446:266 37470:17015:424:280 34342:11264:424:266 33605:26624:424:280 36800:23756:446:266 27393:18449:424:280
room	35057:11264:1452:266
2,	36800:11309:357:295
lampson	37470:11279:1295:325 27416:11826:804:177
hall,	28622:11738:1228:340
at	28466:25220:446:221 29650:24259:469:236 35013:29552:469:236 34029:25235:469:236 38588:21879:424:221 33069:18508:446:236 31080:19469:446:251 29516:28103:446:236 30253:11782:446:236 31371:25723:446:221 38454:31015:402:221 29069:17533:469:236 31371:27142:446:236 34342:25723:424:236 34521:27630:469:236 28712:13704:446:236 37984:20903:469:251
5.	31080:11782:357:236 30454:30010:357:236
football—the	29695:12225:3642:280
following	33761:12225:2390:340
make	37828:12225:1273:266
the	38364:17030:737:280 27170:30926:737:280 27393:12684:759:295
choate	28600:12684:1720:295
trip	30723:12713:893:340
this	32041:12713:871:266
afternoon	33337:12698:2435:280
and	36219:12713:871:266 35683:31429:849:266 33292:16542:893:280 30432:21820:871:280
should	37515:12698:1586:280
report	36733:21879:1519:295 37582:18035:1519:295 27416:13231:1541:280 34096:18996:1541:280 29561:17074:1519:280
with	29270:13172:1072:295 36309:19425:1094:280 30119:31414:1072:266
uniforms	30700:13186:2256:295
front	34164:13186:1228:280 36889:18952:1273:280
of	35191:16054:536:280 35683:13186:513:280 38565:18952:513:266 31728:30453:513:280 38342:30468:513:295 32689:23742:513:280
vale	27371:19395:1161:280 35951:29507:1161:295 36554:13186:1184:280
station	28935:19410:1765:280 38096:13186:759:280 32242:25664:1675:280 27393:13645:960:295
2:30:	29538:13689:1340:251
bragonier,	31326:13659:2658:354
brainard,	34409:13659:2368:340
bridgeman,	37225:13659:1608:340 27416:14221:1161:251
cox,	29225:14132:1117:340
foote,	30879:14132:1519:354
fries,	32912:14147:1407:310
gates,	34990:14132:1519:340
glaz'.er,	37158:14147:1943:325
goddard,	27393:14606:2279:340
green,	30119:14620:1586:354
groff,	32175:14620:1452:354
h.	34096:14620:603:280
p.	35191:14620:491:280
howell,	36130:14620:1966:354 28309:15093:1966:340
r.	38565:14620:513:280
c.	27416:15093:469:280
hurd,	30678:15108:1474:325
johnston,	32555:15108:2346:325
knight,	35348:15108:1876:340
leonard,	27371:15581:960:325 37627:15108:1161:266
lutz,	28734:15581:1273:340
potts,	30365:15581:1430:340
redpath,	32197:15596:2212:325
shirley,	34834:15581:1921:340
stott.	37180:15581:1340:280
basketball—all	27974:16054:3977:280
members	32555:16069:2189:266
last	36197:16069:849:266 32398:23269:871:280 32063:21347:871:280
year's	33292:21347:1452:340 37649:16054:1430:340
university,	27416:16527:2793:354 35124:21347:2793:340
junior,	30901:16527:1742:354
first	34901:16542:983:280
freshman	31639:21820:2480:295 36599:16542:2480:280
