told	24339:16584:957:282
relative	15476:17030:1870:297
strength	17680:17045:2048:356
lost	15854:17520:868:282 24494:19913:868:282
to	17012:17565:445:237 25697:19972:467:222
army	18749:17535:1491:326
defeated	21644:17535:2070:282 25430:20864:489:282 14474:21310:1491:297
western	24005:17535:2160:282
maryland.	14474:17981:2583:356
remaining	19640:17996:2560:356
game	22513:18100:1313:252
their	24962:18010:1202:282
schedule,	14474:18456:2226:341
men	19974:18575:1024:178
scored	21466:18501:1581:252
a	24450:23331:267:193 23648:21904:267:193 23492:18590:267:163
decisive	24205:18486:1959:282
victory	14451:18917:1759:356
over	16567:19036:1113:193
new	18037:18932:1157:297
hampshire	19551:18947:2805:356
college.	22735:18962:1959:341
record	16411:19422:1603:282
team	24205:19482:1202:237 19529:21845:1202:237
is	20219:23212:378:297 25808:19422:356:297
not	14474:19927:757:237
exceptionally	15587:19883:3317:356
impressive	19284:19898:2605:341
as	24316:20477:489:193 22223:19987:512:193 14451:20923:489:208 14474:23301:467:193
they	21600:20849:1046:356 23092:19913:1046:341
virginia,	14474:20358:2249:356
syracuse	17101:20358:2271:356
perm	20932:20373:1269:282
state,	22557:20388:1402:341
well	25140:20388:1024:282
army.	16456:20834:1603:356
however,	18749:20834:2449:356
recently	23047:20864:2004:356
navy,	17346:21310:1491:341
losing	19195:21310:1491:356
only	20998:21324:1068:341
one	22379:21428:846:193 15053:23687:1002:282
bout.	23537:21339:1202:282
use	22468:21889:779:208
slightly	24316:21800:1848:401
different	14451:22261:2160:282
line-up	16923:22261:1736:356
meet	21065:22335:1157:222
tonight.	22535:22290:1915:341
j.	25051:22290:400:341 25786:22290:378:341
smick,	14496:22721:1670:356
1928,	16500:22736:1180:341
box	19195:22751:912:282
115-pound	22201:22751:2516:356
class	25007:22766:1157:282
t.	15275:23212:556:282
thomas,	16166:23212:2137:341
1930,	18682:23212:1202:341
laid	20932:23212:890:297
up	22134:23316:601:252
with	23047:23227:1091:297
cold.	25029:23241:1135:282
best	18527:23687:979:297
evening	24272:23702:1892:356
should	14496:24163:1581:282
rival	22646:24178:1157:282
captains	24160:24178:2004:341
university	14474:25574:4720:624
track	19551:25574:2672:639
stars	22602:25589:2516:639
to	15943:26407:1024:639
meet	17413:26422:2137:624
cornell	19996:26422:3562:624
team	23960:26451:2226:594
will	14496:27729:1536:430
be	16500:27729:935:430
fifth	17903:27729:1759:430
annual	20152:27744:2694:445
meeting	23314:27774:2894:505
with	15387:28383:1803:430
present	17480:28398:2649:430
i.c.a.a.a.a.	20397:28413:4898:430
indoor	16879:29052:2360:430
champions.	19618:29067:4208:505
meet	15387:30166:1736:386
to	17435:30166:868:371
be	18638:30181:757:356
held	19751:30181:1692:356
at	21755:30196:846:341
ithaca	22936:30196:2427:356
thirty-five	14518:31132:2894:341
yale	17814:31147:1202:282
athletes	19417:31147:2249:297
left	22112:31162:1046:282
yesterday	23581:31177:2672:341
for	15209:31608:779:282
dual	16300:31623:1269:267
encounter	18259:31638:2783:267
with	21377:31638:1291:282
"big	23047:31638:1157:341
red"	24873:31652:1358:282
team	15209:32083:1491:297
today—each	17079:32098:3741:341
has	21199:32113:1002:267
won	22579:32128:1247:267
two	24205:32128:1157:267
of	25764:32128:489:267
previous	15142:32559:2404:297
contests.	17658:32574:2605:282
vale	16344:49470:1135:282 14607:44299:1113:282 15097:33495:1157:282 19195:46201:1113:282
will	24472:38236:912:282 14541:48059:890:282 14541:39588:935:282 24027:41059:935:282 21154:40093:890:282 25318:48103:912:282 16567:33495:912:282
encounter	17792:33555:2449:237
cornell	23069:48088:1825:282 14585:43348:1803:297 17725:38667:1825:297 16055:45711:1803:282 20553:33510:1825:297
for	18037:46186:712:282 22713:33510:734:297
their	23760:33525:1157:297 20330:44329:1202:282
fifth	25229:33525:1046:297
annual	14541:33971:1625:282
indoor	16567:33956:1581:297
track	18482:33986:1336:267
meet.	20152:34030:1291:237
